,AREA,PERIMETER,MAJOR_AXIS,MINOR_AXIS,ECCENTRICITY,EQDIASQ,SOLIDITY,CONVEX_AREA,EXTENT,ASPECT_RATIO,ROUNDNESS,COMPACTNESS,SHAPEFACTOR_1,SHAPEFACTOR_2,SHAPEFACTOR_3,SHAPEFACTOR_4,Class
11,75231,1118.512,436.2821,224.8806,0.8569,309.4949,0.964,78041,0.7559,1.9401,0.7557,0.7094,0.0058,0.003,0.5032,0.9763,Kirmizi_Pistachio
12,80415,1933.293,472.1519,241.14,0.8597,319.9806,0.872,92215,0.6852,1.958,0.2704,0.6777,0.0059,0.003,0.4593,0.8993,Kirmizi_Pistachio
13,88714,1243.559,456.6076,248.3919,0.8391,336.0865,0.9823,90308,0.7341,1.8383,0.7209,0.7361,0.0051,0.0028,0.5418,0.9959,Siit_Pistachio
14,101208,1277.932,489.2357,266.3607,0.8388,358.9736,0.9845,102805,0.7223,1.8367,0.7788,0.7337,0.0048,0.0026,0.5384,0.9889,Siit_Pistachio
15,77331,1112.238,414.8904,241.7542,0.8127,313.7848,0.9749,79319,0.7172,1.7162,0.7855,0.7563,0.0054,0.0031,0.572,0.9816,Siit_Pistachio
16,93962,1588.455,493.8718,249.8349,0.8626,345.8846,0.9453,99398,0.7502,1.9768,0.468,0.7004,0.0053,0.0027,0.4905,0.9696,Kirmizi_Pistachio
17,67840,1009.393,390.6413,224.5408,0.8183,293.8989,0.9889,68604,0.7447,1.7397,0.8367,0.7523,0.0058,0.0033,0.566,0.9847,Kirmizi_Pistachio
18,88120,1266.137,462.0862,246.7303,0.8455,334.9595,0.9753,90350,0.7594,1.8728,0.6908,0.7249,0.0052,0.0028,0.5255,0.9841,Kirmizi_Pistachio
19,80574,1205.184,447.1653,232.2778,0.8545,320.2968,0.9749,82648,0.728,1.9251,0.6971,0.7163,0.0055,0.0029,0.5131,0.9877,Kirmizi_Pistachio
20,99362,1201.67,468.1415,272.4168,0.8133,355.6847,0.9932,100043,0.6916,1.7185,0.8647,0.7598,0.0047,0.0027,0.5773,0.992,Siit_Pistachio
21,91449,1221.651,496.9003,236.5792,0.8794,341.2279,0.9889,92475,0.7481,2.1004,0.77,0.6867,0.0054,0.0026,0.4716,0.9905,Kirmizi_Pistachio
22,83628,1838.771,492.9537,230.5179,0.8839,326.3104,0.9257,90339,0.7383,2.1385,0.3108,0.6619,0.0059,0.0028,0.4382,0.937,Kirmizi_Pistachio
23,70376,1108.043,425.9539,212.0494,0.8673,299.3418,0.977,72036,0.7189,2.0087,0.7203,0.7028,0.0061,0.003,0.4939,0.9921,Kirmizi_Pistachio
24,92921,1220.42,454.425,263.0401,0.8154,343.9632,0.9821,94617,0.7372,1.7276,0.784,0.7569,0.0049,0.0028,0.5729,0.9898,Siit_Pistachio
25,92053,2746.7729,457.8702,295.9154,0.7631,342.3529,0.8668,106195,0.6856,1.5473,0.1533,0.7477,0.005,0.0032,0.5591,0.865,Siit_Pistachio
26,84008,1320.6689,443.6006,244.3152,0.8347,327.0509,0.9639,87157,0.6253,1.8157,0.6053,0.7373,0.0053,0.0029,0.5436,0.9869,Siit_Pistachio
27,68804,1261.615,403.3394,227.8688,0.8251,295.9797,0.9297,74005,0.6052,1.7701,0.5432,0.7338,0.0059,0.0033,0.5385,0.9532,Kirmizi_Pistachio
28,90180,1188.213,452.9105,254.3419,0.8274,338.8521,0.9865,91412,0.7636,1.7807,0.8027,0.7482,0.005,0.0028,0.5598,0.9968,Kirmizi_Pistachio
29,80235,1178.358,469.1064,226.941,0.8752,319.6222,0.9434,85047,0.77,2.0671,0.7261,0.6813,0.0058,0.0028,0.4642,0.9596,Kirmizi_Pistachio
30,91368,1855.936,450.2493,270.8279,0.7989,341.0768,0.931,98138,0.7673,1.6625,0.3333,0.7575,0.0049,0.003,0.5738,0.954,Siit_Pistachio
31,92902,1569.4189,454.7281,264.4788,0.8135,343.928,0.9657,96199,0.7548,1.7193,0.474,0.7563,0.0049,0.0028,0.572,0.9835,Siit_Pistachio
32,71061,1052.917,419.1131,217.3003,0.8551,300.7951,0.9906,71738,0.7459,1.9287,0.8055,0.7177,0.0059,0.0031,0.5151,0.9935,Kirmizi_Pistachio
33,61137,1517.489,392.1009,212.6747,0.8401,279.0019,0.9021,67771,0.692,1.8437,0.3336,0.7116,0.0064,0.0035,0.5063,0.9335,Kirmizi_Pistachio
34,84809,1104.275,426.5841,254.8761,0.8019,328.6064,0.9841,86181,0.7634,1.6737,0.874,0.7703,0.005,0.003,0.5934,0.9932,Kirmizi_Pistachio
35,88907,1257.834,481.4239,243.481,0.8627,336.4519,0.9425,94333,0.7117,1.9773,0.7062,0.6989,0.0054,0.0027,0.4884,0.9657,Kirmizi_Pistachio
36,92322,1260.796,465.4449,260.75,0.8283,342.8528,0.9484,97345,0.7076,1.785,0.7298,0.7366,0.005,0.0028,0.5426,0.9686,Siit_Pistachio
37,93490,1574.964,429.0784,287.3922,0.7426,345.0147,0.9363,99851,0.7616,1.493,0.4736,0.8041,0.0046,0.0031,0.6465,0.9653,Siit_Pistachio
38,63595,1369.751,423.6082,206.1729,0.8736,284.5552,0.9024,70470,0.7061,2.0546,0.4259,0.6717,0.0067,0.0032,0.4512,0.9271,Kirmizi_Pistachio
39,48509,1020.717,439.9729,143.3477,0.9454,248.5228,0.9792,49537,0.7156,3.0693,0.5851,0.5649,0.0091,0.003,0.3191,0.9793,Kirmizi_Pistachio
40,62031,1033.151,405.0654,201.6227,0.8673,281.0344,0.961,64549,0.7328,2.009,0.7303,0.6938,0.0065,0.0033,0.4814,0.9671,Kirmizi_Pistachio
41,98129,1239.908,470.1041,267.5849,0.8222,353.471,0.9868,99443,0.7457,1.7568,0.8021,0.7519,0.0048,0.0027,0.5654,0.9932,Siit_Pistachio
42,87309,1159.882,449.1662,248.0552,0.8337,333.4146,0.9908,88123,0.7438,1.8108,0.8155,0.7423,0.0051,0.0028,0.551,0.9977,Siit_Pistachio
43,72519,1069.9611,419.5137,224.9402,0.8441,303.8652,0.9616,75416,0.7489,1.865,0.796,0.7243,0.0058,0.0031,0.5246,0.9785,Kirmizi_Pistachio
44,74224,1190.895,459.7732,209.4521,0.8902,307.4165,0.973,76286,0.6639,2.1951,0.6577,0.6686,0.0062,0.0028,0.4471,0.9814,Kirmizi_Pistachio
45,90941,1208.355,456.3026,257.1601,0.8261,340.2788,0.9868,92161,0.7675,1.7744,0.7827,0.7457,0.005,0.0028,0.5561,0.9868,Kirmizi_Pistachio
46,85519,1200.821,480.6819,240.4698,0.8659,329.979,0.9254,92409,0.7129,1.9989,0.7453,0.6865,0.0056,0.0028,0.4713,0.942,Siit_Pistachio
47,79331,1283.311,472.9826,221.2933,0.8838,317.8166,0.9337,84963,0.7292,2.1374,0.6053,0.6719,0.006,0.0028,0.4515,0.965,Kirmizi_Pistachio
48,67297,1135.11,422.0551,206.534,0.8721,292.7203,0.9607,70053,0.7059,2.0435,0.6563,0.6936,0.0063,0.0031,0.481,0.983,Kirmizi_Pistachio
49,65471,1888.229,401.476,215.7959,0.8433,288.7218,0.91,71950,0.7343,1.8604,0.2308,0.7192,0.0061,0.0033,0.5172,0.9622,Kirmizi_Pistachio
50,63966,1790.7111,401.2134,230.7706,0.818,285.384,0.8537,74929,0.6141,1.7386,0.2507,0.7113,0.0063,0.0036,0.506,0.8796,Kirmizi_Pistachio
51,88471,1222.2321,428.7156,263.4322,0.7889,335.6259,0.983,90003,0.7664,1.6274,0.7442,0.7829,0.0048,0.003,0.6129,0.9974,Siit_Pistachio
52,94946,1260.027,485.1931,251.2239,0.8555,347.6909,0.9844,96449,0.7446,1.9313,0.7515,0.7166,0.0051,0.0026,0.5135,0.9918,Siit_Pistachio
53,63091,1058.692,412.6924,199.5693,0.8753,283.4254,0.9611,65645,0.762,2.0679,0.7074,0.6868,0.0065,0.0032,0.4717,0.9753,Kirmizi_Pistachio
54,88074,2199.8889,460.8836,283.3717,0.7886,334.8721,0.8709,101133,0.6922,1.6264,0.2287,0.7266,0.0052,0.0032,0.5279,0.8586,Siit_Pistachio
55,101876,1222.046,457.9877,287.4138,0.7786,360.1563,0.9717,104838,0.7254,1.5935,0.8572,0.7864,0.0045,0.0028,0.6184,0.9854,Siit_Pistachio
56,65410,1032.755,412.5824,205.1103,0.8677,288.5872,0.9809,66683,0.7523,2.0115,0.7707,0.6995,0.0063,0.0031,0.4893,0.9841,Kirmizi_Pistachio
57,78332,2115.9021,460.0739,254.7395,0.8327,315.8091,0.855,91614,0.6632,1.8061,0.2199,0.6864,0.0059,0.0033,0.4712,0.851,Siit_Pistachio
58,79041,1139.016,450.8814,229.113,0.8613,317.2351,0.9732,81219,0.718,1.9679,0.7656,0.7036,0.0057,0.0029,0.495,0.9742,Kirmizi_Pistachio
59,77198,2368.8301,447.1309,256.2165,0.8195,313.5148,0.8671,89026,0.6566,1.7451,0.1729,0.7012,0.0058,0.0033,0.4916,0.858,Siit_Pistachio
60,84256,1125.687,447.8203,241.5055,0.8421,327.5333,0.9897,85129,0.7618,1.8543,0.8356,0.7314,0.0053,0.0029,0.5349,0.9919,Kirmizi_Pistachio
61,72426,1348.089,399.0111,241.9189,0.7952,303.6703,0.9411,76961,0.6248,1.6494,0.5008,0.7611,0.0055,0.0033,0.5792,0.9553,Kirmizi_Pistachio
62,74171,1118.818,460.9333,205.6845,0.8949,307.3068,0.9861,75220,0.7823,2.241,0.7446,0.6667,0.0062,0.0028,0.4445,0.9961,Kirmizi_Pistachio
63,78809,1985.2679,444.1541,253.17,0.8216,316.7692,0.8887,88681,0.5882,1.7544,0.2513,0.7132,0.0056,0.0032,0.5086,0.8924,Siit_Pistachio
64,77937,1291.8571,432.2187,263.1985,0.7932,315.0119,0.9005,86550,0.6985,1.6422,0.5868,0.7288,0.0055,0.0034,0.5312,0.8723,Kirmizi_Pistachio
65,89823,1266.802,450.1794,264.6333,0.809,338.1807,0.9356,96010,0.717,1.7011,0.7034,0.7512,0.005,0.0029,0.5643,0.96,Siit_Pistachio
66,87842,1222.0291,492.0094,228.2559,0.8859,334.4307,0.9886,88857,0.8204,2.1555,0.7392,0.6797,0.0056,0.0026,0.462,0.9959,Siit_Pistachio
67,76237,1136.353,465.164,211.6298,0.8905,311.5573,0.9773,78007,0.7604,2.198,0.7419,0.6698,0.0061,0.0028,0.4486,0.986,Kirmizi_Pistachio
68,77868,1407.272,462.8822,217.3443,0.8829,314.8724,0.9556,81489,0.7131,2.1297,0.4941,0.6802,0.0059,0.0028,0.4627,0.9855,Kirmizi_Pistachio
69,92332,1138.6899,418.073,282.4232,0.7373,342.8713,0.9902,93243,0.7491,1.4803,0.8949,0.8201,0.0045,0.0031,0.6726,0.9957,Siit_Pistachio
70,72061,1577.652,415.266,241.8876,0.8128,302.9041,0.9136,78880,0.6954,1.7168,0.3638,0.7294,0.0058,0.0034,0.5321,0.9134,Kirmizi_Pistachio
71,76747,1501.296,465.9387,217.7751,0.8841,312.5977,0.9122,84131,0.6531,2.1395,0.4279,0.6709,0.0061,0.0028,0.4501,0.963,Kirmizi_Pistachio
72,73197,1383.817,432.2907,226.5098,0.8517,305.2823,0.9269,78972,0.6413,1.9085,0.4803,0.7062,0.0059,0.0031,0.4987,0.9518,Kirmizi_Pistachio
73,70277,1687.6949,442.1714,215.5658,0.8731,299.1312,0.8931,78689,0.6998,2.0512,0.3101,0.6765,0.0063,0.0031,0.4577,0.9388,Kirmizi_Pistachio
74,96045,1219.256,490.9517,249.5563,0.8612,349.6974,0.9919,96827,0.7379,1.9673,0.8119,0.7123,0.0051,0.0026,0.5073,0.9981,Kirmizi_Pistachio
75,71775,1701.833,414.836,244.1757,0.8084,302.3025,0.9018,79590,0.616,1.6989,0.3114,0.7287,0.0058,0.0034,0.531,0.9022,Kirmizi_Pistachio
76,78585,1081.7629,416.115,241.4718,0.8144,316.3187,0.9897,79399,0.7692,1.7232,0.8439,0.7602,0.0053,0.0031,0.5779,0.9958,Siit_Pistachio
77,92530,2056.0229,427.1877,295.0516,0.7232,343.2388,0.929,99604,0.7498,1.4478,0.2751,0.8035,0.0046,0.0032,0.6456,0.9347,Siit_Pistachio
78,112405,1324.533,522.2956,276.4228,0.8485,378.3101,0.9838,114251,0.7585,1.8895,0.8051,0.7243,0.0046,0.0025,0.5246,0.9913,Siit_Pistachio
79,70865,1981.442,426.0532,244.5283,0.8189,300.38,0.8731,81163,0.6588,1.7423,0.2268,0.705,0.006,0.0035,0.4971,0.8661,Siit_Pistachio
80,91072,1199.776,472.5024,246.7967,0.8528,340.5238,0.9902,91975,0.7607,1.9145,0.795,0.7207,0.0052,0.0027,0.5194,0.9944,Siit_Pistachio
81,91090,1241.655,482.3434,244.1972,0.8624,340.5575,0.9797,92981,0.7762,1.9752,0.7425,0.706,0.0053,0.0027,0.4985,0.9847,Kirmizi_Pistachio
82,117822,1878.382,473.557,329.0721,0.7191,387.3185,0.9496,124077,0.753,1.4391,0.4196,0.8179,0.004,0.0028,0.6689,0.9627,Siit_Pistachio
83,95005,1863.434,459.6347,274.9814,0.8013,347.799,0.9395,101121,0.7287,1.6715,0.3438,0.7567,0.0048,0.0029,0.5726,0.9571,Siit_Pistachio
84,89367,1268.267,507.3129,226.3676,0.8949,337.3212,0.9856,90672,0.7587,2.2411,0.6982,0.6649,0.0057,0.0025,0.4421,0.9908,Kirmizi_Pistachio
85,67543,1130.658,451.7998,193.119,0.904,293.2549,0.9568,70591,0.7381,2.3395,0.6639,0.6491,0.0067,0.0029,0.4213,0.9856,Kirmizi_Pistachio
86,93374,1181.031,469.1623,254.4323,0.8402,344.8006,0.9931,94022,0.7717,1.844,0.8412,0.7349,0.005,0.0027,0.5401,0.996,Siit_Pistachio
87,88178,1770.2791,442.576,266.8698,0.7977,335.0697,0.9281,95009,0.7341,1.6584,0.3536,0.7571,0.005,0.003,0.5732,0.9506,Siit_Pistachio
88,100658,1199.985,448.7871,286.8687,0.769,357.9969,0.993,101364,0.7231,1.5644,0.8784,0.7977,0.0045,0.0028,0.6363,0.9955,Siit_Pistachio
89,74839,1133.668,450.0267,218.2663,0.8745,308.6875,0.965,77556,0.6936,2.0618,0.7318,0.6859,0.006,0.0029,0.4705,0.9701,Kirmizi_Pistachio
90,60287,1164.455,393.705,205.3679,0.8532,277.0556,0.9185,65637,0.6886,1.9171,0.5587,0.7037,0.0065,0.0034,0.4952,0.9494,Kirmizi_Pistachio
91,62370,1025.717,403.4766,204.039,0.8627,281.8013,0.9454,65970,0.68,1.9774,0.745,0.6984,0.0065,0.0033,0.4878,0.9646,Kirmizi_Pistachio
92,60519,1036.614,417.9505,187.7278,0.8934,277.5882,0.9837,61520,0.746,2.2264,0.7077,0.6642,0.0069,0.0031,0.4411,0.9821,Kirmizi_Pistachio
93,63072,1943.854,396.6056,225.1856,0.8232,283.3827,0.8874,71077,0.7047,1.7612,0.2098,0.7145,0.0063,0.0036,0.5105,0.8992,Kirmizi_Pistachio
94,100231,1181.7791,435.9832,294.1512,0.7381,357.2367,0.9934,100892,0.7558,1.4822,0.9019,0.8194,0.0043,0.0029,0.6714,0.9951,Siit_Pistachio
95,83005,1122.7841,414.8105,255.9364,0.787,325.0927,0.9874,84064,0.726,1.6208,0.8274,0.7837,0.005,0.0031,0.6142,0.9955,Siit_Pistachio
96,60614,1119.3719,390.418,210.0969,0.8429,277.8059,0.9428,64291,0.681,1.8583,0.6079,0.7116,0.0064,0.0035,0.5063,0.9409,Kirmizi_Pistachio
97,72328,1046.27,404.1033,230.9122,0.8207,303.4648,0.9764,74076,0.7403,1.75,0.8303,0.751,0.0056,0.0032,0.5639,0.9869,Siit_Pistachio
98,69661,2078.5439,444.0122,224.1117,0.8633,297.8173,0.8698,80087,0.6746,1.9812,0.2026,0.6707,0.0064,0.0032,0.4499,0.8913,Kirmizi_Pistachio
99,100391,1248.085,462.6749,284.7257,0.7882,357.5217,0.968,103710,0.7548,1.625,0.8099,0.7727,0.0046,0.0028,0.5971,0.9703,Siit_Pistachio
100,72035,1285.006,422.0994,234.5674,0.8314,302.8495,0.9221,78119,0.7055,1.7995,0.5482,0.7175,0.0059,0.0033,0.5148,0.9263,Kirmizi_Pistachio
101,79408,2382.7271,467.5201,258.8673,0.8327,317.9708,0.8612,92208,0.6831,1.806,0.1758,0.6801,0.0059,0.0033,0.4626,0.8354,Kirmizi_Pistachio
102,68290,1236.179,439.6265,200.1081,0.8904,294.872,0.9673,70597,0.7652,2.1969,0.5616,0.6707,0.0064,0.0029,0.4499,0.9884,Kirmizi_Pistachio
103,72671,1183.064,445.4609,212.2045,0.8792,304.1835,0.9734,74660,0.7243,2.0992,0.6525,0.6829,0.0061,0.0029,0.4663,0.9788,Kirmizi_Pistachio
104,97495,2725.947,468.5151,297.1961,0.7731,352.3272,0.8712,111913,0.7119,1.5765,0.1649,0.752,0.0048,0.003,0.5655,0.8915,Siit_Pistachio
105,73946,1306.459,455.3872,209.0019,0.8885,306.8403,0.9596,77061,0.744,2.1789,0.5444,0.6738,0.0062,0.0028,0.454,0.9892,Kirmizi_Pistachio
106,77119,1135.411,473.295,209.4061,0.8968,313.3544,0.991,77817,0.7429,2.2602,0.7517,0.6621,0.0061,0.0027,0.4383,0.9907,Kirmizi_Pistachio
107,93543,1556.7419,467.6827,266.8364,0.8213,345.1125,0.9359,99955,0.7561,1.7527,0.4851,0.7379,0.005,0.0029,0.5445,0.9544,Siit_Pistachio
108,79982,1218.16,468.519,220.3987,0.8824,319.1179,0.9689,82552,0.6927,2.1258,0.6773,0.6811,0.0059,0.0028,0.4639,0.9862,Kirmizi_Pistachio
109,91087,1909.657,436.7993,281.7704,0.7641,340.5518,0.9235,98631,0.7115,1.5502,0.3139,0.7797,0.0048,0.0031,0.6079,0.9423,Siit_Pistachio
110,83517,1281.6591,462.5503,234.7448,0.8617,326.0938,0.9644,86597,0.7578,1.9704,0.6389,0.705,0.0055,0.0028,0.497,0.9793,Kirmizi_Pistachio
111,87710,2547.3,461.9934,259.4555,0.8274,334.1794,0.9109,96289,0.7221,1.7806,0.1699,0.7233,0.0053,0.003,0.5232,0.9317,Siit_Pistachio
112,86261,1156.8521,456.5374,241.3351,0.8489,331.4075,0.9878,87326,0.6689,1.8917,0.81,0.7259,0.0053,0.0028,0.527,0.9968,Siit_Pistachio
113,76258,2243.6179,465.1225,253.6346,0.8382,311.6002,0.7976,95609,0.6227,1.8338,0.1904,0.6699,0.0061,0.0033,0.4488,0.823,Kirmizi_Pistachio
114,77225,1909.5909,443.3553,256.3559,0.8159,313.5696,0.8581,89995,0.6479,1.7295,0.2661,0.7073,0.0057,0.0033,0.5002,0.8651,Kirmizi_Pistachio
115,85969,2345.6279,421.6958,291.1149,0.7235,330.8461,0.8702,98789,0.7033,1.4486,0.1964,0.7846,0.0049,0.0034,0.6155,0.8916,Kirmizi_Pistachio
116,82148,1233.542,485.0299,220.6042,0.8906,323.4101,0.9609,85489,0.7492,2.1986,0.6784,0.6668,0.0059,0.0027,0.4446,0.9775,Kirmizi_Pistachio
117,91065,1180.948,459.1751,255.8426,0.8304,340.5107,0.9748,93420,0.761,1.7948,0.8205,0.7416,0.005,0.0028,0.5499,0.987,Siit_Pistachio
118,81306,1353.421,466.4728,227.3004,0.8732,321.7484,0.9434,86187,0.7521,2.0522,0.5578,0.6897,0.0057,0.0028,0.4758,0.9764,Kirmizi_Pistachio
119,76212,1184.293,457.3364,219.2388,0.8776,311.5062,0.9665,78850,0.7664,2.086,0.6828,0.6811,0.006,0.0029,0.4639,0.9678,Kirmizi_Pistachio
120,80033,1820.825,432.656,260.9348,0.7977,319.2196,0.9007,88853,0.6782,1.6581,0.3033,0.7378,0.0054,0.0033,0.5444,0.9026,Siit_Pistachio
121,106889,1267.8781,506.6975,269.9413,0.8463,368.911,0.9936,107579,0.7505,1.8771,0.8356,0.7281,0.0047,0.0025,0.5301,0.995,Siit_Pistachio
122,86409,1345.272,381.4589,292.9682,0.6404,331.6917,0.9546,90523,0.7862,1.302,0.6,0.8695,0.0044,0.0034,0.7561,0.9845,Siit_Pistachio
123,101198,2577.3501,462.1474,304.6206,0.752,358.9558,0.9135,110783,0.7028,1.5171,0.1914,0.7767,0.0046,0.003,0.6033,0.9153,Siit_Pistachio
124,89898,2532.0271,471.0031,270.694,0.8184,338.3219,0.876,102626,0.6604,1.74,0.1762,0.7183,0.0052,0.003,0.516,0.8978,Siit_Pistachio
125,94948,1184.8521,456.392,267.6631,0.81,347.6946,0.9908,95826,0.7605,1.7051,0.8499,0.7618,0.0048,0.0028,0.5804,0.9896,Siit_Pistachio
126,82130,1169.217,466.5165,230.6381,0.8692,323.3747,0.9712,84565,0.778,2.0227,0.755,0.6932,0.0057,0.0028,0.4805,0.9719,Kirmizi_Pistachio
127,84557,1138.902,416.459,261.965,0.7774,328.1178,0.9773,86517,0.6752,1.5898,0.8192,0.7879,0.0049,0.0031,0.6207,0.9868,Siit_Pistachio
128,79538,1222.442,465.5429,225.9824,0.8743,318.2309,0.9577,83048,0.7045,2.0601,0.6688,0.6836,0.0059,0.0028,0.4673,0.9626,Kirmizi_Pistachio
129,69281,1858.311,429.6525,220.8217,0.8578,297.0039,0.8981,77141,0.7029,1.9457,0.2521,0.6913,0.0062,0.0032,0.4778,0.9297,Kirmizi_Pistachio
130,80428,1528.296,464.1943,224.5781,0.8752,320.0064,0.9721,82734,0.7409,2.067,0.4327,0.6894,0.0058,0.0028,0.4752,0.9823,Kirmizi_Pistachio
131,62840,1197.223,379.452,218.2999,0.8179,282.8611,0.9736,64544,0.7358,1.7382,0.5509,0.7454,0.006,0.0035,0.5557,0.9659,Kirmizi_Pistachio
132,73158,1987.899,474.9973,274.9922,0.8154,305.201,0.7669,95394,0.5925,1.7273,0.2326,0.6425,0.0065,0.0038,0.4128,0.7131,Siit_Pistachio
133,62040,1254.078,387.2148,233.2208,0.7983,281.0548,0.863,71892,0.6587,1.6603,0.4957,0.7258,0.0062,0.0038,0.5268,0.8747,Kirmizi_Pistachio
134,79209,1251.63,391.5358,262.6503,0.7416,317.5721,0.9624,82300,0.6968,1.4907,0.6354,0.8111,0.0049,0.0033,0.6579,0.9807,Siit_Pistachio
135,93340,1290.415,511.8364,235.6817,0.8877,344.7379,0.971,96123,0.7512,2.1717,0.7044,0.6735,0.0055,0.0025,0.4536,0.9852,Kirmizi_Pistachio
136,72353,1711.048,425.3286,243.441,0.82,303.5172,0.8778,82427,0.6734,1.7472,0.3106,0.7136,0.0059,0.0034,0.5092,0.8897,Kirmizi_Pistachio
137,85339,1373.15,441.409,247.7803,0.8276,329.6316,0.9743,87589,0.7246,1.7815,0.5688,0.7468,0.0052,0.0029,0.5577,0.9935,Siit_Pistachio
138,80745,1522.308,455.2902,232.7997,0.8594,320.6364,0.9313,86705,0.7131,1.9557,0.4378,0.7042,0.0056,0.0029,0.496,0.97,Kirmizi_Pistachio
139,94442,1688.476,444.9857,272.5977,0.7904,346.7669,0.976,96765,0.7442,1.6324,0.4163,0.7793,0.0047,0.0029,0.6073,0.9913,Siit_Pistachio
140,71304,1732.4041,417.6022,239.2083,0.8197,301.3089,0.8708,81887,0.679,1.7458,0.2986,0.7215,0.0059,0.0034,0.5206,0.9088,Kirmizi_Pistachio
141,75669,1436.559,415.8894,239.3196,0.8178,310.3945,0.9406,80444,0.7388,1.7378,0.4608,0.7463,0.0055,0.0032,0.557,0.968,Kirmizi_Pistachio
142,81632,1301.9969,445.4909,235.2594,0.8492,322.3928,0.9739,83820,0.7546,1.8936,0.6051,0.7237,0.0055,0.0029,0.5237,0.9917,Siit_Pistachio
143,60808,1542.349,385.1817,218.3363,0.8238,278.2502,0.9125,66636,0.7139,1.7642,0.3212,0.7224,0.0063,0.0036,0.5218,0.9206,Kirmizi_Pistachio
144,81460,1850.024,399.9521,279.8189,0.7145,322.0529,0.9059,89923,0.6371,1.4293,0.2991,0.8052,0.0049,0.0034,0.6484,0.9268,Siit_Pistachio
145,76093,1138.8781,424.5136,244.2908,0.8178,311.2629,0.9335,81516,0.6189,1.7377,0.7372,0.7332,0.0056,0.0032,0.5376,0.9342,Siit_Pistachio
146,81164,1222.931,442.9454,242.1429,0.8374,321.4673,0.9392,86419,0.7543,1.8293,0.682,0.7257,0.0055,0.003,0.5267,0.9635,Kirmizi_Pistachio
147,78972,1250.7581,486.5347,210.9681,0.9011,317.0966,0.9651,81826,0.6427,2.3062,0.6344,0.6517,0.0062,0.0027,0.4248,0.9796,Kirmizi_Pistachio
148,71171,1450.9399,449.7746,209.0137,0.8855,301.0278,0.9437,75420,0.6459,2.1519,0.4248,0.6693,0.0063,0.0029,0.4479,0.9639,Kirmizi_Pistachio
149,77018,1966.579,473.3199,217.8002,0.8878,313.1491,0.9188,83824,0.721,2.1732,0.2503,0.6616,0.0061,0.0028,0.4377,0.9512,Kirmizi_Pistachio
150,70689,2024.5959,460.4317,208.2718,0.8918,300.0067,0.897,78808,0.7161,2.2107,0.2167,0.6516,0.0065,0.0029,0.4246,0.9386,Kirmizi_Pistachio
151,77892,1448.8051,436.2948,243.0868,0.8304,314.9209,0.9088,85709,0.7049,1.7948,0.4663,0.7218,0.0056,0.0031,0.521,0.9351,Kirmizi_Pistachio
152,84672,1334.7111,489.0739,221.9485,0.8911,328.3409,0.9719,87123,0.7397,2.2035,0.5973,0.6714,0.0058,0.0026,0.4507,0.9932,Kirmizi_Pistachio
153,41269,1338.38,370.0265,153.0344,0.9105,229.2277,0.89,46369,0.6439,2.4179,0.2895,0.6195,0.009,0.0037,0.3838,0.9279,Kirmizi_Pistachio
